0;0
47;47
24;25
26;24
28;23
29;21
29;20
29;20
28;19
28;17
28;15
28;15
30;15
32;16
35;16
35;18
36;20
36;23
34;24
32;24
30;24
29;26
27;28
26;30
25;32
22;34
17;15
20;16
21;18
21;21
21;23
20;25
19;28
18;30
19;32
21;34
24;33
26;33
29;34
31;34
34;35
36;33
37;31
37;29
38;27
38;24
37;21
37;19
37;16
37;13
38;11
38;9
37;6
35;4
33;3
31;3
29;4
28;5
26;7
25;9
24;11
22;11
20;11
18;11
16;11
14;12
12;10
12;9
11;6
10;4
8;3
6;4
19;10
17;11
15;10
13;9
12;8
12;5
10;4
8;3
6;4
4;5
3;7
3;8
3;10
2;13
3;15
5;16
7;16
9;16
11;16
13;16
15;16
34;14
33;15
31;16
31;18
29;19
28;21
27;23
27;25
27;28
27;30
26;31
25;34
23;34
21;34
19;34
17;35
15;35
13;35
11;34
9;33
7;33
6;33
4;32
2;30
2;28
3;26
3;23
5;22
7;22
8;23
10;23
12;23
14;23
16;23
18;23
21;23
23;21
22;19
21;16
21;14
20;11
4;17
5;16
8;16
10;16
11;14
12;12
11;9
12;7
13;5
15;6
17;6
17;6
17;5
19;5
21;6
22;8
24;7
25;6
27;5
29;3
31;3
33;4
35;5
36;6
36;8
37;11
36;13
34;14
19;3
21;4
23;5
23;5
23;5
23;5
23;4
25;3
27;3
29;3
30;4
33;4
35;5
36;7
36;9
36;11
36;13
36;15
37;18
38;20
36;22
35;24
33;24
30;23
29;25
27;27
27;29
27;32
26;32
24;32
22;33
19;33
17;33
15;34
13;34
11;34
9;33
7;33
5;33
3;32
3;30
3;28
2;25
3;24
2;21
2;19
21;8
20;6
21;4
24;4
24;5
25;8
25;10
24;13
22;15
22;18
22;20
21;22
21;24
20;25
19;27
18;30
17;32
15;33
13;33
14;32
15;30
16;28
14;27
12;27
10;27
8;27
6;27
4;25
2;23
3;21
2;18
3;17
3;15
3;13
3;11
3;9
3;7
4;4
6;4
8;3
11;3
13;3
16;3
15;2
18;2
21;3
23;2
23;4
22;6
22;8
22;10
22;10
22;10
23;10
23;12
24;14
26;16
27;18
27;21
26;23
26;25
27;28
26;30
27;32
27;34
25;34
18;6
19;6
20;7
23;6
24;6
26;8
26;11
26;13
28;14
29;15
28;17
28;19
27;22
27;24
26;27
25;28
24;30
22;31
21;32
19;33
17;34
16;33
15;31
15;29
13;28
11;27
9;27
8;27
5;26
3;25
2;22
2;20
2;18
2;15
2;13
3;11
3;9
3;7
4;5
6;3
8;3
10;3
13;3
24;7
24;9
24;11
24;13
24;16
25;23
23;24
21;23
19;23
17;23
15;25
13;25
11;24
9;23
7;21
6;19
6;18
6;16
5;13
6;11
4;10
5;8
6;5
8;4
10;4
12;4
14;4
16;4
18;4
19;3
21;3
24;3
23;5
19;23
21;23
22;23
23;24
25;25
26;25
24;26
23;28
21;28
19;27
16;26
14;26
11;25
10;24
7;23
7;25
8;26
10;26
12;26
14;26
16;27
17;28
19;28
22;27
23;28
26;28
28;27
30;27
32;26
34;26
34;24
32;24
30;24
28;23
5;15
5;15
5;15
5;15
4;17
4;19
5;21
7;23
9;23
11;23
13;24
15;23
17;22
29;6
27;4
25;3
22;4
20;3
18;4
18;6
18;8
18;10
16;11
14;12
12;12
10;12
9;13
6;13
5;12
5;14
10;37
12;37
14;37
15;35
16;34
17;32
18;32
18;33
16;33
15;34
15;36
16;37
18;37
20;37
22;37
24;36
24;34
24;31
24;29
24;26
25;24
26;21
28;20
31;20
33;19
34;17
32;16
30;15
28;14
29;11
30;9
18;31
19;30
21;30
23;28
26;28
29;27
31;27
34;26
35;27
36;27
34;28
33;29
32;30
31;28
29;28
26;28
24;28
21;29
19;30
16;29
14;28
12;27
9;27
8;26
6;26
5;28
3;29
4;30
4;32
4;35
6;37
8;37
16;22
18;22
20;22
22;23
23;25
23;27
25;27
27;29
25;30
24;32
23;34
24;37
22;36
20;37
17;37
16;36
16;34
17;33
33;16
34;14
34;12
34;10
34;8
34;5
33;3
31;4
28;4
27;3
25;3
24;3
22;2
21;4
19;4
17;3
15;3
13;5
11;5
8;4
6;5
5;7
5;9
5;10
6;12
8;12
10;13
12;14
12;16
11;18
12;20
12;23
15;22
18;38
18;38
18;38
18;38
18;38
20;38
22;38
24;36
24;34
25;33
26;30
27;29
28;27
29;25
29;24
29;22
30;22
31;19
32;18
32;20
33;21
35;23
35;23
34;22
33;20
31;21
29;21
27;23
27;23
29;21
30;19
31;18
13;25
13;27
15;28
16;27
19;27
21;27
24;26
26;25
27;24
27;23
28;21
30;19
32;19
34;17
34;15
34;13
35;11
35;8
35;5
33;4
31;4
29;4
27;3
25;3
23;5
22;4
20;3
18;3
17;2
15;3
12;5
10;5
7;5
5;5
4;7
5;9
5;11
6;14
6;16
5;18
6;20
8;21
10;22
11;23
11;25
12;27
14;29
15;31
16;33
17;36
17;37
9;38
8;39
7;39
6;38
5;36
5;34
4;31
3;29
5;27
7;27
8;27
9;26
10;26
11;26
12;24
25;25
24;26
23;26
22;27
20;27
19;28
19;26
17;24
16;22
17;21
17;18
18;17
18;14
17;12
19;10
18;9
18;7
19;5
18;4
18;4
17;5
15;4
13;3
11;3
8;2
6;4
5;5
5;7
5;9
5;11
5;14
4;16
3;19
2;22
2;24
2;27
3;30
3;32
4;34
6;36
8;37
10;37
11;37
37;6
35;5
33;4
30;3
28;4
26;6
24;7
24;9
23;10
21;10
19;10
17;10
14;9
11;10
10;12
11;14
11;16
7;18
5;19
3;19
3;22
3;25
3;27
2;30
2;32
4;33
6;33
8;34
10;34
12;34
14;34
17;34
19;34
21;35
23;34
25;34
27;35
28;34
30;33
32;32
34;32
36;32
37;30
38;28
37;25
36;23
37;21
37;18
37;17
36;15
36;13
37;11
37;8
36;28
36;26
36;24
37;22
37;20
38;18
38;16
37;14
37;12
37;10
36;7
34;5
33;3
30;3
27;3
25;4
22;5
20;5
18;5
16;4
14;3
12;3
11;4
11;6
11;8
12;10
11;12
10;15
9;17
21;6
19;4
16;3
14;2
12;2
11;4
11;6
11;8
11;10
10;12
10;14
9;16
10;18
7;18
4;19
3;20
3;23
3;25
4;28
3;30
3;32
5;33
7;34
8;34
10;34
12;34
15;33
21;24
20;26
19;28
17;28
16;27
17;26
19;25
20;23
22;22
22;19
22;17
23;16
25;14
26;12
25;10
24;7
23;5
24;3
26;3
