0;0
47;47
22;39
21;39
19;38
20;36
19;34
19;32
19;31
20;29
21;28
23;29
25;29
25;29
25;29
25;29
25;29
25;29
25;29
4;10
4;10
4;8
4;6
6;6
8;6
9;6
11;7
13;8
14;9
16;10
18;9
19;8
21;7
23;6
24;6
26;5
28;4
29;3
31;4
32;5
33;3
34;5
33;7
32;9
32;11
32;13
33;15
33;16
33;18
33;20
33;22
34;24
33;26
33;28
33;29
34;31
32;32
30;33
28;33
27;34
26;36
27;38
25;38
23;39
22;39
22;39
35;36
35;36
35;36
35;36
35;35
34;33
33;32
31;32
29;33
27;34
26;35
26;37
26;38
24;38
23;39
21;39
19;38
19;36
18;34
17;33
15;33
13;32
13;30
12;29
11;28
9;27
8;28
9;26
9;24
8;22
8;21
7;20
5;19
4;17
4;15
4;13
4;11
4;10
4;8
4;6
5;4
6;4
5;5
5;5
4;4
4;5
4;7
4;9
4;10
4;10
4;10
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
33;28
34;29
36;28
38;28
39;27
40;26
40;26
40;25
40;25
39;27
39;28
40;30
41;31
42;30
42;31
40;31
39;33
37;34
35;35
34;36
34;36
34;36
34;36
34;36
34;36
34;36
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
8;16
9;18
9;20
7;21
9;20
11;21
13;22
34;17
32;16
31;14
30;13
28;12
26;11
23;10
21;10
20;9
19;7
18;6
17;4
15;3
13;3
11;3
9;3
7;3
5;3
2;3
3;5
5;7
5;9
6;11
7;12
8;14
3;4
2;5
2;7
3;7
3;10
4;11
4;14
4;17
4;19
4;21
4;23
4;25
5;26
4;28
5;30
20;36
22;36
24;37
26;37
29;37
30;35
30;33
30;32
30;30
30;27
31;25
33;23
36;24
36;22
37;21
38;19
36;18
34;17
32;17
32;15
31;13
30;12
28;11
26;11
23;10
22;9
20;8
19;7
17;5
16;3
14;2
12;2
10;2
8;2
6;3
4;3
3;5
3;7
6;8
7;10
7;11
4;19
4;19
4;19
4;19
4;19
3;18
4;18
3;20
1;22
1;22
1;20
1;18
1;16
2;15
3;14
4;11
3;9
3;6
3;4
3;4
1;19
2;16
2;15
3;15
4;13
4;10
3;8
3;5
4;5
4;8
4;10
4;13
4;15
5;18
5;20
4;22
4;24
3;26
4;28
5;31
6;33
8;35
8;36
8;36
7;35
7;33
5;32
4;30
4;27
4;25
4;23
4;21
4;19
4;19
24;27
24;27
22;25
22;23
21;22
22;21
23;18
24;18
26;17
28;17
30;16
31;15
30;13
29;12
27;11
27;9
24;9
22;9
21;8
19;7
17;5
16;4
15;3
12;2
10;2
8;2
6;3
4;3
2;5
3;6
3;8
4;11
4;13
3;15
3;16
3;18
3;20
3;22
3;24
3;26
4;29
4;32
5;33
7;33
9;33
11;33
13;34
15;34
16;35
18;35
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
4;20
4;20
3;21
4;23
5;25
5;26
3;28
4;29
5;32
6;34
8;36
9;36
8;33
8;31
8;28
7;26
6;24
4;22
4;22
4;22
3;22
2;23
1;21
29;11
31;12
32;13
32;15
33;17
35;18
38;18
39;20
39;22
39;24
38;25
36;24
34;24
32;24
30;24
28;25
27;27
27;29
25;31
24;32
22;32
21;31
20;29
21;26
21;24
23;24
23;26
5;18
5;16
4;17
4;19
4;20
4;17
3;17
3;15
3;12
3;10
3;7
3;4
3;3
3;4
1;4
1;6
3;7
3;9
3;11
3;14
4;16
5;18
4;20
4;21
4;20
4;20
3;14
2;16
1;17
1;19
2;21
2;24
3;27
4;29
5;31
6;32
8;34
10;36
10;36
10;36
10;35
9;33
8;31
5;30
5;28
5;27
4;24
3;22
4;20
18;23
16;23
14;22
13;24
14;25
16;25
16;23
15;22
13;22
11;22
9;22
7;23
5;24
4;24
5;22
6;20
5;18
5;17
4;15
4;13
4;11
4;9
4;7
4;5
6;2
7;2
9;3
11;4
12;5
13;7
15;8
17;9
19;10
21;10
23;11
24;11
26;12
18;36
18;34
17;32
16;31
17;28
16;27
14;28
11;27
10;25
10;23
8;21
9;19
9;20
9;20
9;20
9;20
9;20
9;20
8;20
6;22
4;21
4;19
4;17
4;15
3;13
3;14
19;7
21;8
22;9
24;10
26;11
28;11
29;12
31;14
32;15
33;16
34;18
35;18
38;19
39;21
39;22
37;23
35;23
33;23
31;23
29;24
27;24
25;25
23;25
22;24
20;24
11;16
11;19
12;21
11;23
10;25
10;27
11;30
11;32
10;31
8;30
6;29
3;28
3;25
4;23
3;20
3;18
2;15
3;13
3;11
3;9
3;7
3;4
4;4
4;6
4;9
4;12
4;14
4;16
4;18
6;20
7;23
8;25
10;27
12;29
13;31
15;33
17;35
19;35
21;36
22;36
23;38
22;38
21;37
19;38
26;34
28;33
30;32
31;32
32;31
32;30
33;29
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
32;28
26;18
26;20
26;22
28;23
29;25
30;27
28;27
26;27
25;26
23;26
21;25
20;27
20;29
19;31
17;32
16;31
15;29
15;27
14;26
13;24
12;22
11;21
10;19
9;17
8;15
7;14
6;12
4;10
6;9
8;9
10;8
11;6
12;5
13;3
15;3
17;4
18;6
4;19
4;21
5;23
5;25
4;25
3;28
5;29
8;30
10;30
12;30
14;31
16;32
18;32
19;29
20;28
22;27
25;28
26;27
29;26
31;25
30;23
30;20
30;18
31;15
31;13
29;12
27;11
24;12
21;12
20;11
20;11
19;11
17;11
15;9
14;10
13;12
12;13
10;18
12;18
14;18
16;18
18;18
20;18
22;18
24;18
20;8
17;7
17;5
16;4
14;3
12;3
10;3
8;3
7;3
5;3
4;4
5;6
5;8
5;10
4;12
4;14
5;16
6;18
8;18
32;37
32;37
32;35
30;35
29;34
28;33
26;34
25;36
24;38
22;37
22;34
21;33
21;31
21;29
23;28
25;27
27;26
29;26
31;25
34;24
35;24
35;24
36;24
38;23
39;21
37;19
36;18
34;18
32;17
31;15
30;13
30;13
29;12
27;12
25;11
23;10
22;9
5;20
5;20
5;20
5;20
5;20
5;18
4;16
4;14
4;12
4;11
3;12
3;12
3;12
3;13
4;15
