0;0
47;47
7;2
10;3
12;4
14;4
16;5
18;4
20;4
4;19
5;17
5;15
5;13
5;11
5;9
5;7
5;4
6;3
13;16
12;18
12;19
11;21
9;22
8;24
8;26
10;27
12;28
14;28
16;28
18;28
21;27
23;26
23;24
21;23
18;22
16;23
13;23
11;22
8;23
6;21
5;19
5;18
5;16
5;14
5;12
5;10
5;7
4;5
6;6
8;5
10;3
12;4
15;5
17;5
19;5
21;5
24;5
25;5
27;4
29;5
29;7
29;9
29;11
29;13
30;15
32;17
31;19
29;20
30;23
30;25
30;27
28;28
26;29
25;31
24;34
24;36
27;38
29;3
31;3
33;4
34;6
34;8
34;10
34;12
34;15
34;17
35;19
35;21
34;22
33;24
32;23
30;22
28;22
26;22
23;23
21;22
19;22
17;22
15;23
13;23
11;23
8;23
8;24
9;26
11;27
12;28
13;30
15;31
16;33
17;36
18;36
20;36
22;37
24;37
25;35
25;33
25;31
27;29
29;28
31;27
33;26
33;24
34;22
33;20
32;19
30;18
28;17
25;16
23;14
23;12
24;10
24;8
23;5
21;3
19;4
18;5
17;7
17;9
16;11
14;12
13;14
5;17
5;15
5;12
4;10
4;8
5;6
6;4
8;3
10;4
12;3
15;3
17;4
19;3
21;3
23;3
25;3
28;4
30;3
32;3
34;5
34;7
34;8
34;10
34;12
34;14
33;16
33;19
34;21
34;24
33;26
32;27
30;27
28;28
26;28
24;31
23;33
23;35
23;37
21;37
19;37
16;35
15;34
14;32
13;30
12;29
10;27
8;27
6;27
5;25
5;23
4;20
4;18
4;15
4;12
4;10
4;8
5;6
6;4
9;3
10;3
12;4
14;4
16;3
19;3
21;3
23;3
25;2
28;3
34;23
35;26
35;27
34;30
35;32
35;35
34;37
32;37
30;37
28;37
26;37
24;38
23;38
21;38
18;37
16;35
15;33
15;31
14;30
13;28
12;26
11;25
10;23
8;21
6;20
9;37
10;37
12;38
15;37
17;37
19;38
21;38
24;37
25;35
25;33
25;31
26;30
26;28
26;26
25;24
24;23
25;24
24;26
22;28
20;29
17;27
8;20
7;20
7;22
9;22
11;21
12;19
12;17
12;16
13;14
15;13
17;11
18;8
17;6
15;4
13;3
11;3
11;3
10;3
7;3
5;4
5;6
5;8
5;10
5;12
5;14
5;17
5;19
5;22
4;24
4;26
4;28
5;30
5;32
5;34
5;36
7;37
9;37
37;31
36;32
35;34
33;34
31;34
28;33
26;32
26;30
26;27
26;27
25;28
23;28
24;28
25;28
27;27
29;25
31;24
33;24
36;23
37;22
38;21
38;19
38;16
38;14
2;12
2;11
3;10
3;9
2;7
3;5
5;4
7;3
10;3
11;4
14;4
16;5
18;6
20;6
22;8
22;10
24;12
24;14
23;17
22;19
22;22
22;24
21;26
21;28
22;29
22;31
22;33
24;33
26;34
28;35
30;36
30;34
32;34
35;34
37;33
37;31
37;30
23;16
23;18
23;21
22;23
21;26
20;28
18;29
18;31
17;33
19;32
21;33
23;33
26;33
28;33
30;33
33;34
35;33
37;31
37;29
38;26
38;23
37;21
37;18
37;16
36;14
37;12
37;9
37;6
35;4
33;4
32;4
30;5
27;5
26;6
25;8
24;11
23;12
21;14
19;15
17;15
15;16
12;16
10;16
8;16
6;17
3;16
3;14
16;27
15;27
17;25
18;24
20;23
22;22
22;19
22;17
24;15
23;12
23;9
21;8
22;8
23;8
23;9
23;11
23;13
37;32
37;32
37;32
37;32
35;33
33;33
31;32
28;32
26;31
24;30
22;28
20;27
18;27
34;14
31;16
30;14
29;13
28;13
29;13
29;15
29;17
28;19
27;22
28;24
26;25
25;28
26;30
25;32
24;35
24;37
26;36
28;34
30;34
32;35
35;34
37;33
37;33
19;35
20;36
19;34
21;34
22;34
24;34
26;35
29;35
31;34
34;34
36;32
37;30
37;28
37;27
36;25
34;24
32;23
30;22
29;20
29;18
28;16
29;14
27;12
26;10
26;8
25;6
25;4
25;5
27;4
29;2
31;2
33;3
35;4
37;3
37;5
37;6
36;8
35;10
35;12
26;23
27;21
28;20
27;22
27;25
26;27
26;30
25;32
24;33
26;33
27;31
28;29
29;26
28;23
27;22
24;23
23;21
22;19
23;18
22;15
23;13
23;11
22;9
21;7
21;7
22;7
24;6
24;7
25;9
25;12
25;14
23;16
23;18
22;20
22;22
22;24
21;27
20;29
19;31
18;34
11;4
12;5
14;5
16;6
18;6
21;7
21;9
21;11
21;14
22;17
22;19
22;22
22;24
22;26
23;28
25;30
27;32
29;33
31;34
34;34
36;32
36;30
36;28
36;27
35;25
34;24
32;24
30;24
28;25
26;25
5;17
7;17
10;17
12;16
12;13
13;12
16;12
18;13
21;13
23;14
25;15
26;18
27;20
28;22
30;24
32;24
34;24
36;26
35;27
36;28
36;30
36;33
34;33
32;32
29;33
27;32
25;31
23;29
21;27
20;26
18;26
15;26
13;26
11;27
9;26
7;27
5;27
2;25
3;24
3;22
2;20
3;17
3;15
3;13
3;11
3;8
3;5
5;4
7;3
9;3
34;11
35;11
36;13
35;14
35;15
36;16
34;16
32;17
30;18
28;19
27;20
26;22
25;23
23;24
21;25
19;26
18;28
17;31
15;32
13;33
11;33
8;34
6;34
3;33
3;31
4;29
4;27
4;25
3;23
3;21
4;19
35;34
35;36
34;37
33;36
33;38
32;39
29;37
27;37
25;37
23;38
6;14
6;16
6;19
6;20
6;22
6;24
6;26
6;28
6;30
5;32
5;35
6;37
8;37
10;38
13;38
15;38
17;37
19;37
20;38
23;38
25;38
25;37
25;35
25;33
25;31
26;29
27;29
28;29
30;30
32;30
34;30
34;32
25;31
26;29
28;28
31;28
34;28
36;29
36;29
38;27
38;26
36;24
35;22
34;20
33;18
34;16
34;14
34;12
34;10
34;8
34;6
33;4
31;3
29;3
26;3
24;3
22;3
19;3
18;4
15;4
13;4
11;4
8;3
6;4
4;5
4;7
4;9
5;11
6;12
11;4
9;4
7;3
5;4
3;6
3;8
4;10
5;12
5;14
5;16
4;18
4;20
4;22
4;24
4;26
4;27
5;29
4;31
5;33
6;36
7;37
9;38
12;38
14;38
16;38
18;37
20;37
22;37
24;37
26;36
25;35
25;33
4;33
4;35
6;36
9;38
11;37
11;37
11;37
13;36
15;37
17;37
18;38
20;38
22;37
24;38
26;38
28;39
30;38
32;37
34;36
34;34
34;32
35;30
35;28
36;25
36;23
35;21
36;19
37;17
36;15
34;13
33;11
34;9
34;7
34;4
32;3
31;3
30;2
27;3
25;2
23;3
21;3
19;4
